theta0,theta1
8248.490632, -0.018964
8250.983331, -0.018989
8253.452269, -0.019013
8255.897446, -0.019037
8258.316703, -0.019061
8260.712199, -0.019085
8263.083935, -0.019109
8265.431910, -0.019132
8267.756124, -0.019155
8270.058738, -0.019178
8272.337592, -0.019200
8274.594845, -0.019222
8276.828337, -0.019245
8279.040229, -0.019266
8281.230520, -0.019288
8283.399211, -0.019310
8285.546301, -0.019331
8287.671791, -0.019352
8289.775681, -0.019373
8291.860130, -0.019393
8293.922978, -0.019414
8295.964226, -0.019434
8297.986033, -0.019454
8299.988400, -0.019474
8301.971327, -0.019493
8303.932653, -0.019513
8305.874538, -0.019532
8307.799143, -0.019551
8309.704308, -0.019570
8311.590032, -0.019589
8313.456316, -0.019607
8315.305319, -0.019625
8317.134882, -0.019643
8318.947165, -0.019661
8320.740007, -0.019679
8322.515568, -0.019697
8324.273850, -0.019714
8326.014851, -0.019731
8327.738571, -0.019748
8329.445011, -0.019765
8331.134171, -0.019782
8332.806050, -0.019798
8334.462809, -0.019815
8336.102287, -0.019831
8337.726645, -0.019847
8339.333723, -0.019863
8340.925680, -0.019879
8342.500357, -0.019894
8344.059914, -0.019910
8345.604350, -0.019925
8347.133666, -0.019940
8348.647861, -0.019955
8350.146937, -0.019970
8351.630891, -0.019985
8353.099726, -0.019999
8354.555600, -0.020014
8355.996354, -0.020028
8357.421987, -0.020042
8358.834660, -0.020056
8360.232213, -0.020070
8361.616806, -0.020083
8362.986278, -0.020097
8364.342789, -0.020110
8365.686341, -0.020124
8367.016932, -0.020137
8368.332403, -0.020150
8369.634914, -0.020163
8370.926624, -0.020176
8372.205374, -0.020188
8373.471164, -0.020201
8374.723993, -0.020213
8375.963862, -0.020225
8377.190771, -0.020238
8378.406879, -0.020250
8379.610027, -0.020262
8380.802375, -0.020273
8381.981763, -0.020285
8383.150351, -0.020297
8384.305978, -0.020308
8385.450804, -0.020319
8386.584831, -0.020331
8387.708057, -0.020342
8388.818323, -0.020353
8389.917789, -0.020364
8391.006455, -0.020374
8392.084320, -0.020385
8393.151385, -0.020396
8394.207650, -0.020406
8395.255274, -0.020416
8396.292099, -0.020427
8397.318123, -0.020437
8398.333347, -0.020447
8399.339930, -0.020457
8400.335714, -0.020467
8401.320697, -0.020476
8402.297040, -0.020486
8403.262582, -0.020496
8404.219485, -0.020505
8405.167747, -0.020514
8406.105209, -0.020524
8407.034031, -0.020533
8407.954212, -0.020542
8408.863594, -0.020551
8409.764335, -0.020560
8410.656436, -0.020569
8411.539896, -0.020577
8412.414717, -0.020586
8413.280897, -0.020595
8414.138437, -0.020603
8414.987337, -0.020612
8415.827597, -0.020620
8416.659216, -0.020628
8417.482196, -0.020636
8418.298695, -0.020644
8419.106554, -0.020652
8419.905773, -0.020660
8420.696351, -0.020668
8421.480449, -0.020676
8422.255908, -0.020683
8423.024886, -0.020691
8423.785223, -0.020699
8424.539081, -0.020706
8425.284299, -0.020713
8426.023036, -0.020721
8426.753133, -0.020728
8427.476750, -0.020735
8428.193887, -0.020742
8428.902383, -0.020749
8429.604400, -0.020756
8430.299936, -0.020763
8430.988992, -0.020770
8431.669408, -0.020777
8432.343344, -0.020783
8433.010800, -0.020790
8433.671775, -0.020796
8434.326271, -0.020803
8434.974286, -0.020809
8435.615821, -0.020816
8436.250876, -0.020822
8436.879451, -0.020828
8437.501545, -0.020834
8438.117160, -0.020840
8438.728454, -0.020846
8439.333268, -0.020852
8439.931602, -0.020858
8440.523456, -0.020864
8441.110990, -0.020870
8441.692043, -0.020876
8442.266617, -0.020881
8442.836870, -0.020887
8443.400644, -0.020893
8443.957937, -0.020898
8444.510910, -0.020904
8445.057402, -0.020909
8445.599575, -0.020914
8446.135268, -0.020920
8446.666640, -0.020925
8447.191532, -0.020930
8447.712105, -0.020935
8448.228357, -0.020940
8448.738129, -0.020946
8449.243581, -0.020951
8449.744712, -0.020955
8450.239364, -0.020960
8450.729695, -0.020965
8451.215707, -0.020970
8451.697398, -0.020975
8452.172609, -0.020979
8452.643500, -0.020984
8453.110071, -0.020989
8453.572322, -0.020993
8454.030253, -0.020998
8454.483863, -0.021002
8454.930994, -0.021007
8455.373804, -0.021011
8455.812295, -0.021016
8456.246465, -0.021020
8456.676315, -0.021024
8457.101845, -0.021028
8457.523055, -0.021032
8457.942105, -0.021037
8458.356834, -0.021041
8458.767244, -0.021045
8459.173333, -0.021049
8459.575103, -0.021053
8459.972552, -0.021057
8460.365681, -0.021061
8460.754491, -0.021064
8461.141140, -0.021068
8461.523469, -0.021072
8461.901477, -0.021076
8462.275166, -0.021079
