theta0,theta1
0.933514, -0.988254
0.933601, -0.988482
0.933686, -0.988707
0.933770, -0.988928
0.933853, -0.989146
0.933934, -0.989361
0.934014, -0.989573
0.934093, -0.989782
0.934171, -0.989987
0.934248, -0.990189
0.934323, -0.990388
0.934397, -0.990584
0.934470, -0.990777
0.934542, -0.990968
0.934613, -0.991156
0.934683, -0.991341
0.934752, -0.991523
0.934820, -0.991702
0.934887, -0.991879
0.934953, -0.992053
0.935018, -0.992225
0.935082, -0.992394
0.935145, -0.992560
0.935207, -0.992724
0.935268, -0.992886
0.935329, -0.993045
0.935389, -0.993202
0.935447, -0.993357
0.935505, -0.993509
0.935562, -0.993659
0.935618, -0.993807
0.935673, -0.993952
0.935727, -0.994095
0.935781, -0.994236
0.935834, -0.994375
0.935886, -0.994512
0.935937, -0.994647
0.935987, -0.994780
0.936037, -0.994911
0.936086, -0.995040
0.936134, -0.995167
0.936181, -0.995292
0.936228, -0.995415
0.936274, -0.995537
0.936319, -0.995657
0.936364, -0.995775
0.936408, -0.995891
0.936451, -0.996006
0.936494, -0.996119
0.936536, -0.996230
0.936577, -0.996339
0.936618, -0.996447
0.936658, -0.996553
0.936698, -0.996658
0.936737, -0.996761
0.936775, -0.996862
0.936813, -0.996962
0.936850, -0.997060
0.936887, -0.997157
0.936923, -0.997253
0.936959, -0.997347
0.936994, -0.997440
0.937029, -0.997531
0.937063, -0.997621
0.937097, -0.997710
0.937130, -0.997797
0.937162, -0.997883
0.937194, -0.997968
0.937226, -0.998051
0.937257, -0.998133
0.937288, -0.998214
0.937318, -0.998294
0.937348, -0.998373
0.937377, -0.998451
0.937406, -0.998527
0.937435, -0.998602
0.937463, -0.998676
0.937491, -0.998749
0.937518, -0.998821
0.937545, -0.998892
0.937571, -0.998962
0.937597, -0.999031
0.937623, -0.999099
0.937648, -0.999166
0.937673, -0.999232
0.937698, -0.999297
0.937722, -0.999361
0.937746, -0.999424
0.937769, -0.999486
0.937792, -0.999547
0.937815, -0.999607
0.937837, -0.999666
0.937859, -0.999724
0.937881, -0.999781
0.937902, -0.999837
0.937923, -0.999893
0.937944, -0.999948
0.937965, -1.000002
0.937985, -1.000055
0.938005, -1.000107
0.938025, -1.000159
0.938044, -1.000210
0.938063, -1.000260
0.938082, -1.000309
0.938100, -1.000358
0.938118, -1.000406
0.938136, -1.000453
0.938154, -1.000500
0.938171, -1.000546
0.938188, -1.000591
0.938205, -1.000635
0.938222, -1.000679
0.938238, -1.000722
0.938254, -1.000765
0.938270, -1.000807
0.938286, -1.000848
0.938301, -1.000889
0.938316, -1.000929
0.938331, -1.000968
0.938346, -1.001007
0.938360, -1.001045
0.938374, -1.001083
0.938388, -1.001120
0.938402, -1.001157
0.938416, -1.001193
0.938430, -1.001228
0.938443, -1.001263
0.938456, -1.001297
0.938469, -1.001331
0.938482, -1.001364
0.938494, -1.001397
0.938506, -1.001430
0.938518, -1.001462
0.938530, -1.001493
0.938542, -1.001524
0.938553, -1.001555
0.938565, -1.001585
0.938576, -1.001615
0.938587, -1.001644
0.938598, -1.001673
0.938609, -1.001701
0.938619, -1.001729
0.938630, -1.001756
0.938640, -1.001783
0.938650, -1.001810
0.938660, -1.001836
0.938670, -1.001862
0.938680, -1.001888
0.938689, -1.001913
0.938698, -1.001938
0.938707, -1.001962
0.938716, -1.001986
0.938725, -1.002010
0.938734, -1.002033
0.938743, -1.002056
0.938752, -1.002079
0.938760, -1.002101
0.938768, -1.002123
0.938776, -1.002145
0.938784, -1.002166
0.938792, -1.002187
0.938800, -1.002208
0.938808, -1.002228
0.938816, -1.002248
0.938823, -1.002268
0.938831, -1.002287
0.938838, -1.002306
0.938845, -1.002325
0.938852, -1.002344
0.938859, -1.002362
0.938866, -1.002380
0.938873, -1.002398
0.938880, -1.002416
0.938886, -1.002433
0.938892, -1.002450
0.938898, -1.002467
0.938905, -1.002483
0.938911, -1.002499
0.938917, -1.002515
0.938923, -1.002531
0.938929, -1.002547
0.938935, -1.002562
0.938941, -1.002577
0.938946, -1.002592
0.938952, -1.002607
0.938957, -1.002621
0.938962, -1.002635
0.938967, -1.002649
0.938972, -1.002663
0.938977, -1.002676
0.938982, -1.002689
0.938987, -1.002702
0.938992, -1.002715
0.938997, -1.002728
0.939002, -1.002741
0.939007, -1.002753
0.939012, -1.002765
0.939017, -1.002777
0.939021, -1.002789
0.939025, -1.002801
0.939029, -1.002812
0.939033, -1.002823
0.939037, -1.002834
0.939041, -1.002845
0.939045, -1.002856
0.939049, -1.002867
0.939053, -1.002877
0.939057, -1.002887
0.939061, -1.002897
0.939065, -1.002907
0.939069, -1.002917
0.939073, -1.002927
0.939077, -1.002937
0.939081, -1.002947
0.939084, -1.002956
0.939088, -1.002965
0.939091, -1.002974
0.939094, -1.002983
0.939097, -1.002992
0.939101, -1.003001
0.939104, -1.003010
0.939107, -1.003018
0.939110, -1.003026
0.939113, -1.003034
0.939116, -1.003042
0.939119, -1.003050
0.939122, -1.003058
0.939125, -1.003066
0.939128, -1.003074
0.939131, -1.003081
0.939134, -1.003088
0.939137, -1.003095
0.939140, -1.003102
0.939143, -1.003109
0.939145, -1.003116
0.939148, -1.003123
0.939150, -1.003130
0.939153, -1.003137
0.939155, -1.003144
0.939158, -1.003150
0.939160, -1.003156
0.939162, -1.003162
0.939164, -1.003168
0.939166, -1.003174
0.939168, -1.003180
0.939171, -1.003186
0.939173, -1.003192
0.939175, -1.003198
0.939177, -1.003204
0.939179, -1.003209
0.939181, -1.003214
0.939183, -1.003219
0.939185, -1.003224
0.939187, -1.003229
0.939189, -1.003234
0.939191, -1.003239
0.939193, -1.003244
0.939195, -1.003249
0.939197, -1.003254
0.939199, -1.003259
0.939201, -1.003264
0.939203, -1.003269
0.939205, -1.003274
0.939207, -1.003279
0.939209, -1.003283
0.939210, -1.003287
0.939211, -1.003291
0.939213, -1.003295
0.939214, -1.003299
0.939216, -1.003303
0.939217, -1.003307
0.939219, -1.003311
0.939220, -1.003315
0.939222, -1.003319
0.939223, -1.003323
0.939224, -1.003327
0.939226, -1.003331
0.939227, -1.003335
0.939229, -1.003339
0.939230, -1.003343
0.939232, -1.003346
0.939233, -1.003349
0.939234, -1.003352
0.939235, -1.003355
0.939236, -1.003358
0.939237, -1.003361
0.939238, -1.003364
0.939239, -1.003367
0.939240, -1.003370
0.939241, -1.003373
0.939242, -1.003376
0.939244, -1.003379
0.939245, -1.003382
0.939246, -1.003385
0.939247, -1.003388
0.939248, -1.003391
0.939249, -1.003394
0.939250, -1.003397
0.939251, -1.003400
0.939252, -1.003402
0.939253, -1.003404
0.939254, -1.003406
0.939255, -1.003408
0.939256, -1.003410
0.939257, -1.003412
0.939258, -1.003414
0.939259, -1.003416
0.939260, -1.003418
0.939261, -1.003420
0.939262, -1.003422
0.939262, -1.003424
0.939263, -1.003426
0.939264, -1.003428
0.939265, -1.003430
0.939265, -1.003432
0.939266, -1.003434
0.939267, -1.003436
0.939267, -1.003438
0.939268, -1.003440
0.939269, -1.003442
0.939270, -1.003444
0.939270, -1.003446
0.939271, -1.003448
0.939272, -1.003450
0.939272, -1.003452
0.939273, -1.003454
0.939274, -1.003456
0.939275, -1.003458
0.939275, -1.003460
0.939276, -1.003462
0.939277, -1.003464
0.939278, -1.003466
0.939278, -1.003468
0.939279, -1.003470
0.939280, -1.003472
0.939280, -1.003474
0.939281, -1.003475
0.939281, -1.003477
0.939282, -1.003478
0.939283, -1.003479
0.939283, -1.003481
0.939284, -1.003482
0.939284, -1.003483
0.939284, -1.003484
0.939285, -1.003485
0.939285, -1.003486
0.939285, -1.003487
0.939286, -1.003488
0.939286, -1.003489
0.939287, -1.003490
0.939287, -1.003491
0.939287, -1.003492
0.939288, -1.003493
0.939288, -1.003494
0.939288, -1.003495
0.939289, -1.003496
0.939289, -1.003497
0.939289, -1.003498
0.939290, -1.003499
0.939290, -1.003500
0.939290, -1.003501
0.939291, -1.003502
0.939291, -1.003503
0.939292, -1.003504
0.939292, -1.003505
0.939292, -1.003506
0.939293, -1.003507
0.939293, -1.003508
0.939293, -1.003509
0.939294, -1.003510
0.939294, -1.003511
0.939294, -1.003512
0.939295, -1.003513
0.939295, -1.003514
0.939296, -1.003515
0.939296, -1.003516
0.939296, -1.003517
0.939297, -1.003518
0.939297, -1.003519
0.939297, -1.003520
0.939298, -1.003521
0.939298, -1.003522
0.939298, -1.003523
0.939299, -1.003524
0.939299, -1.003525
0.939299, -1.003526
0.939300, -1.003527
0.939300, -1.003528
0.939301, -1.003529
0.939301, -1.003530
0.939301, -1.003531
0.939302, -1.003532
0.939302, -1.003533
0.939302, -1.003534
0.939303, -1.003535
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
0.939303, -1.003536
