theta0,theta1
0.914379, -0.937745
0.914627, -0.938399
0.914872, -0.939046
0.915115, -0.939687
0.915355, -0.940321
0.915593, -0.940949
0.915828, -0.941571
0.916061, -0.942187
0.916292, -0.942796
0.916521, -0.943399
0.916747, -0.943997
0.916971, -0.944589
0.917193, -0.945175
0.917413, -0.945755
0.917631, -0.946329
0.917846, -0.946897
0.918059, -0.947460
0.918270, -0.948017
0.918479, -0.948569
0.918686, -0.949115
0.918891, -0.949656
0.919094, -0.950191
0.919295, -0.950721
0.919494, -0.951246
0.919691, -0.951766
0.919886, -0.952280
0.920079, -0.952789
0.920270, -0.953293
0.920459, -0.953792
0.920646, -0.954286
0.920831, -0.954775
0.921014, -0.955260
0.921196, -0.955740
0.921376, -0.956215
0.921554, -0.956685
0.921730, -0.957151
0.921905, -0.957612
0.922078, -0.958068
0.922249, -0.958520
0.922419, -0.958967
0.922587, -0.959410
0.922753, -0.959849
0.922917, -0.960283
0.923080, -0.960713
0.923241, -0.961139
0.923401, -0.961560
0.923559, -0.961977
0.923715, -0.962390
0.923870, -0.962799
0.924023, -0.963204
0.924175, -0.963605
0.924325, -0.964002
0.924474, -0.964395
0.924622, -0.964784
0.924768, -0.965169
0.924913, -0.965550
0.925056, -0.965928
0.925198, -0.966302
0.925338, -0.966672
0.925477, -0.967038
0.925614, -0.967401
0.925750, -0.967760
0.925885, -0.968116
0.926018, -0.968468
0.926150, -0.968817
0.926281, -0.969162
0.926410, -0.969504
0.926538, -0.969842
0.926665, -0.970177
0.926791, -0.970509
0.926915, -0.970837
0.927038, -0.971162
0.927160, -0.971484
0.927281, -0.971803
0.927401, -0.972118
0.927519, -0.972430
0.927636, -0.972739
0.927752, -0.973045
0.927867, -0.973348
0.927981, -0.973648
0.928093, -0.973945
0.928204, -0.974239
0.928314, -0.974530
0.928423, -0.974818
0.928531, -0.975103
0.928638, -0.975386
0.928744, -0.975666
0.928849, -0.975943
0.928953, -0.976217
0.929056, -0.976489
0.929158, -0.976758
0.929259, -0.977024
0.929359, -0.977288
0.929458, -0.977549
0.929556, -0.977807
0.929653, -0.978063
0.929749, -0.978316
0.929844, -0.978567
0.929938, -0.978815
0.930031, -0.979061
0.930123, -0.979304
0.930214, -0.979545
0.930305, -0.979784
0.930395, -0.980020
0.930484, -0.980254
0.930572, -0.980486
0.930659, -0.980715
0.930745, -0.980942
0.930830, -0.981167
0.930914, -0.981390
0.930997, -0.981610
0.931080, -0.981828
0.931162, -0.982044
0.931243, -0.982258
0.931323, -0.982470
0.931402, -0.982680
0.931481, -0.982887
0.931559, -0.983092
0.931636, -0.983295
0.931712, -0.983496
0.931787, -0.983695
0.931862, -0.983892
0.931936, -0.984087
0.932009, -0.984281
0.932082, -0.984473
0.932154, -0.984663
0.932225, -0.984851
0.932295, -0.985037
0.932365, -0.985221
0.932434, -0.985403
0.932502, -0.985583
0.932570, -0.985762
0.932637, -0.985939
0.932703, -0.986114
0.932769, -0.986287
0.932834, -0.986459
0.932898, -0.986629
0.932962, -0.986797
0.933025, -0.986964
0.933088, -0.987129
0.933150, -0.987292
0.933211, -0.987454
0.933272, -0.987614
0.933332, -0.987772
0.933391, -0.987929
0.933450, -0.988084
0.933508, -0.988238
0.933566, -0.988390
0.933623, -0.988541
0.933680, -0.988690
0.933736, -0.988838
0.933791, -0.988984
0.933846, -0.989129
0.933900, -0.989272
0.933954, -0.989414
0.934007, -0.989555
0.934060, -0.989694
0.934112, -0.989832
0.934164, -0.989968
0.934215, -0.990103
0.934266, -0.990237
0.934316, -0.990369
0.934366, -0.990500
0.934415, -0.990630
0.934464, -0.990759
0.934512, -0.990886
0.934560, -0.991012
0.934607, -0.991137
0.934654, -0.991261
0.934700, -0.991383
0.934746, -0.991504
0.934791, -0.991624
0.934836, -0.991743
0.934881, -0.991860
0.934925, -0.991976
0.934968, -0.992091
0.935011, -0.992205
0.935054, -0.992318
0.935096, -0.992430
0.935138, -0.992541
0.935180, -0.992651
0.935221, -0.992759
0.935262, -0.992866
0.935302, -0.992972
0.935342, -0.993077
0.935381, -0.993181
0.935420, -0.993284
0.935459, -0.993386
0.935497, -0.993487
0.935535, -0.993587
0.935572, -0.993686
0.935609, -0.993784
0.935646, -0.993881
0.935682, -0.993977
0.935718, -0.994072
0.935754, -0.994166
0.935789, -0.994259
0.935824, -0.994351
0.935859, -0.994443
0.935893, -0.994534
0.935927, -0.994624
0.935961, -0.994713
0.935994, -0.994801
0.936027, -0.994888
0.936060, -0.994974
0.936092, -0.995059
0.936124, -0.995144
0.936156, -0.995228
0.936187, -0.995311
0.936218, -0.995393
0.936249, -0.995474
0.936280, -0.995554
0.936310, -0.995634
0.936340, -0.995713
0.936370, -0.995791
0.936399, -0.995868
0.936428, -0.995945
0.936457, -0.996021
0.936485, -0.996096
0.936513, -0.996170
0.936541, -0.996244
0.936569, -0.996317
0.936596, -0.996389
0.936623, -0.996460
0.936650, -0.996531
0.936676, -0.996601
0.936702, -0.996670
0.936728, -0.996739
0.936754, -0.996807
0.936780, -0.996874
0.936805, -0.996941
0.936830, -0.997007
0.936855, -0.997072
0.936879, -0.997137
0.936903, -0.997201
0.936927, -0.997264
0.936951, -0.997327
0.936975, -0.997389
0.936998, -0.997450
0.937021, -0.997511
0.937044, -0.997571
0.937067, -0.997631
0.937089, -0.997690
0.937111, -0.997748
0.937133, -0.997806
0.937155, -0.997863
0.937176, -0.997920
0.937197, -0.997976
0.937218, -0.998032
0.937239, -0.998087
0.937260, -0.998141
0.937280, -0.998195
0.937300, -0.998248
0.937320, -0.998301
0.937340, -0.998353
0.937360, -0.998405
0.937379, -0.998456
0.937398, -0.998507
0.937417, -0.998557
0.937436, -0.998607
0.937455, -0.998656
0.937474, -0.998705
0.937492, -0.998753
0.937510, -0.998801
0.937528, -0.998848
0.937546, -0.998895
0.937564, -0.998942
0.937581, -0.998988
0.937598, -0.999034
0.937615, -0.999079
0.937632, -0.999124
0.937649, -0.999168
0.937666, -0.999212
